time,y
16776,-9.747809
16794,-9.649743
16814,-9.620323
16834,-9.845877
16854,-10.042009
16877,-10.071429
16894,-10.218529
16914,-10.051816
16936,-9.914523
16960,-9.9047165
16977,-9.83607
16995,-9.80665
17017,-9.669356
17035,-9.943943
17055,-9.963556
17076,-9.80665
17095,-9.679163
17116,-9.698776
17138,-9.914523
17161,-10.110656
17176,-10.238142
17196,-10.238142
17217,-10.100849
17238,-10.238142
17260,-10.238142
17278,-10.189109
17297,-10.395049
17318,-10.140076
17338,-9.86549
17362,-9.669356
17379,-9.590903
17398,-9.5320635
17418,-9.845877
17439,-10.032203
17462,-9.738003
17479,-9.590903
17498,-9.65955
17519,-9.7183895
17539,-9.787037
17561,-9.98317
17579,-10.002783
17599,-9.855683
17619,-10.012589
17641,-10.051816
17662,-10.061623
17679,-10.0910425
17700,-10.169496
17720,-10.002783
17741,-10.071429
17762,-10.179302
17780,-10.012589
17801,-10.120462
17821,-10.208722
17842,-9.934136
17865,-9.796844
17881,-9.757616
17901,-9.65955
17921,-9.561483
17942,-9.60071
17963,-9.473224
17983,-9.492837
18002,-9.60071
18022,-9.649743
18044,-9.5320635
18064,-9.375157
18082,-9.4241905
18103,-9.5320635
18124,-9.7183895
18147,-9.679163
18163,-9.63013
18183,-9.992976
18203,-10.179302
18226,-10.326403
18247,-10.404856
18265,-10.277369
18283,-10.051816
18305,-9.855683
18325,-9.728196
18348,-9.875297
18364,-9.796844
18385,-9.57129
18405,-9.551677
18427,-9.463417
18449,-9.45361
18466,-9.48303
18485,-9.669356
18506,-9.669356
18527,-9.708583
18549,-9.845877
18566,-9.89491
18586,-9.95375
18606,-10.0910425
18628,-10.149882
18652,-10.071429
18670,-10.189109
18687,-10.208722
18707,-9.9047165
18727,-9.816457
18752,-9.92433
18769,-9.669356
18788,-9.669356
18808,-9.698776
18827,-9.590903
18853,-9.4241905
18868,-9.492837
18888,-9.757616
18908,-9.80665
18930,-9.708583
18955,-9.708583
18969,-9.679163
18989,-9.679163
19008,-9.738003
19029,-9.796844
19053,-9.738003
19069,-9.68897
19089,-9.747809
19110,-9.738003
19130,-9.65955
19151,-9.92433
19170,-9.9047165
19191,-9.738003
19211,-9.9047165
19234,-10.012589
19251,-10.002783
19271,-9.963556
19291,-10.032203
19312,-9.845877
19331,-9.826263
19352,-9.934136
19372,-9.708583
19392,-9.492837
19413,-9.502644
19437,-9.581097
19453,-9.679163
19472,-9.698776
19492,-9.708583
19514,-9.796844
19538,-9.581097
19553,-9.473224
19573,-9.590903
19593,-9.669356
19614,-9.63013
19637,-9.708583
19654,-10.061623
19674,-10.051816
19694,-10.120462
19715,-9.98317
19737,-9.92433
19754,-9.963556
19774,-9.992976
19794,-9.98317
19815,-9.885103
19840,-9.757616
19858,-9.63013
19876,-9.610517
19896,-9.679163
19916,-9.747809
