time,x,y,z
26032,-0.20593965,-9.992976,-0.0588399
26049,-0.20593965,-9.973363,-0.1569064
26068,-0.2353596,-9.92433,-0.10787315
26088,-0.19613299,-10.071429,-0.06864655
26108,-0.17651969,-9.914523,0.0
26132,-0.1372931,-9.992976,-0.0588399
26148,-0.1372931,-9.992976,-0.0196133
26169,-0.1569064,-10.0910425,-0.1176798
26189,-0.17651969,-9.98317,-0.049033247
26209,-0.19613299,-10.051816,-0.088259846
26237,-0.1372931,-10.159689,-0.06864655
26254,-0.19613299,-10.120462,-0.088259846
26269,-0.24516624,-10.071429,-0.098066494
26289,-0.22555295,-10.0910425,-0.12748645
26310,-0.24516624,-9.992976,-0.088259846
26329,-0.2157463,-9.787037,-0.0588399
26349,-0.19613299,-9.708583,-0.0588399
26369,-0.16671304,-9.875297,0.0
26390,-0.17651969,-9.826263,-0.10787315
26410,-0.1569064,-9.747809,-0.0588399
26431,-0.18632634,-9.934136,-0.088259846
26450,-0.20593965,-9.89491,-0.1176798
26471,-0.16671304,-9.826263,-0.0392266
26494,-0.16671304,-10.002783,0.0
26517,-0.2157463,-10.257755,-0.0588399
26534,-0.20593965,-10.179302,0.00980665
26552,-0.19613299,-10.061623,-0.02941995
26571,-0.16671304,-10.071429,-0.1176798
26592,-0.1569064,-10.071429,-0.14709975
26612,-0.18632634,-10.081236,-0.06864655
26634,-0.16671304,-9.992976,-0.10787315
26652,-0.1569064,-9.98317,-0.06864655
26672,-0.16671304,-9.963556,-0.088259846
26692,-0.17651969,-9.98317,-0.0588399
26712,-0.18632634,-9.943943,-0.19613299
26733,-0.2549729,-9.855683,-0.088259846
26753,-0.20593965,-9.885103,-0.06864655
26773,-0.20593965,-9.943943,-0.02941995
26794,-0.2157463,-9.98317,-0.0588399
26819,-0.2157463,-10.002783,-0.0588399
26836,-0.18632634,-9.92433,-0.16671304
26853,-0.17651969,-9.914523,-0.098066494
26874,-0.20593965,-9.855683,-0.14709975
26894,-0.22555295,-9.855683,-0.088259846
26914,-0.2745862,-9.943943,-0.02941995
26934,-0.24516624,-10.032203,-0.00980665
26954,-0.19613299,-10.100849,-0.0392266
26975,-0.19613299,-10.218529,-0.06864655
26996,-0.1569064,-10.159689,-0.0784532
27019,-0.1176798,-9.973363,-0.0588399
27035,-0.1372931,-9.943943,-0.06864655
27055,-0.10787315,-9.86549,-0.088259846
27076,-0.1372931,-9.973363,-0.10787315
27097,-0.17651969,-10.061623,-0.12748645
27122,-0.19613299,-10.081236,-0.1569064
27136,-0.2157463,-10.110656,-0.088259846
27156,-0.22555295,-10.071429,-0.12748645
27176,-0.18632634,-10.051816,-0.06864655
27196,-0.18632634,-10.002783,-0.049033247
27219,-0.10787315,-9.875297,-0.088259846
27236,-0.17651969,-9.787037,-0.098066494
27256,-0.16671304,-9.845877,-0.12748645
27276,-0.18632634,-9.92433,-0.098066494
27299,-0.19613299,-10.042009,-0.0784532
27322,-0.19613299,-9.95375,-0.02941995
27337,-0.19613299,-9.95375,0.02941995
27357,-0.20593965,-9.86549,-0.098066494
27378,-0.2157463,-9.885103,-0.0784532
27397,-0.16671304,-9.875297,-0.0588399
27421,-0.18632634,-9.914523,-0.0392266
27441,-0.16671304,-9.95375,-0.049033247
27458,-0.17651969,-9.816457,-0.049033247
27478,-0.2157463,-10.0910425,-0.049033247
27499,-0.2353596,-10.071429,-0.088259846
27527,-0.19613299,-10.002783,-0.2157463
27539,-0.2353596,-10.169496,-0.098066494
27559,-0.18632634,-10.159689,-0.14709975
27579,-0.17651969,-10.179302,-0.1176798
27599,-0.19613299,-10.208722,-0.02941995
27621,-0.20593965,-10.238142,-0.049033247
27639,-0.2157463,-10.081236,-0.14709975
27659,-0.22555295,-9.973363,-0.098066494
27679,-0.22555295,-9.973363,-0.10787315
27700,-0.16671304,-9.973363,-0.0784532
27725,-0.19613299,-9.767424,0.02941995
27740,-0.1372931,-9.767424,-0.0784532
27760,-0.16671304,-9.934136,-0.0392266
27780,-0.17651969,-9.875297,-0.098066494
27800,-0.22555295,-9.914523,-0.0392266
27825,-0.18632634,-10.022396,-0.06864655
27840,-0.22555295,-10.120462,-0.06864655
27861,-0.19613299,-10.061623,-0.0784532
27883,-0.2157463,-9.992976,-0.098066494
27913,-0.20593965,-10.071429,-0.19613299
27930,-0.22555295,-10.002783,-0.098066494
27941,-0.16671304,-9.9047165,-0.0784532
27961,-0.19613299,-9.95375,-0.10787315
27983,-0.17651969,-10.042009,0.00980665
28006,-0.18632634,-10.012589,-0.00980665
28022,-0.19613299,-10.100849,-0.02941995
28042,-0.16671304,-10.208722,-0.088259846
28062,-0.17651969,-10.140076,-0.1176798
28084,-0.2353596,-10.002783,-0.0784532
28108,-0.17651969,-9.963556,-0.1176798
28126,-0.1569064,-9.943943,-0.0784532
28149,-0.19613299,-9.885103,-0.0588399
28166,-0.1569064,-9.796844,-0.06864655
28185,-0.18632634,-9.77723,-0.00980665
28207,-0.19613299,-9.728196,-0.088259846
28224,-0.20593965,-9.728196,-0.0784532
